employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E012,33,26,6,65
E014,28,33,0,61
E006,25,25,2,52
E015,21,31,0,52
E004,18,30,2,50
E007,23,24,2,49
E009,24,20,4,48
E018,21,27,0,48
E005,26,22,0,48
E019,17,28,2,47
E002,20,23,4,47
E013,24,19,2,45
E010,23,19,2,44
E001,22,21,0,43
E020,14,27,2,43
E003,25,11,4,40
E008,16,24,0,40
E011,20,15,2,37
E016,19,17,0,36
E017,14,21,0,35
E100,11,16,0,27
E089,9,18,0,27
E056,10,14,0,24
E065,8,15,0,23
E045,8,14,0,22
E039,8,14,0,22
E066,8,14,0,22
E059,10,12,0,22
E052,11,11,0,22
E021,9,12,0,21
E086,6,15,0,21
E050,10,11,0,21
E040,6,15,0,21
E067,9,12,0,21
E054,7,14,0,21
E029,10,10,0,20
E041,9,11,0,20
E051,5,15,0,20
E073,6,13,0,19
E091,7,12,0,19
E095,4,15,0,19
E022,8,11,0,19
E076,9,9,0,18
E084,6,12,0,18
E068,6,12,0,18
E062,7,11,0,18
E046,6,12,0,18
E082,6,12,0,18
E083,9,9,0,18
E079,3,15,0,18
E024,4,13,0,17
E028,7,10,0,17
E094,7,10,0,17
E035,9,8,0,17
E026,7,10,0,17
E058,6,11,0,17
E047,5,12,0,17
E063,9,8,0,17
E042,7,10,0,17
E099,3,13,0,16
E034,6,10,0,16
E096,12,4,0,16
E069,9,7,0,16
E057,6,10,0,16
E077,9,7,0,16
E036,9,7,0,16
E031,6,10,0,16
E025,6,9,0,15
E060,8,7,0,15
E061,10,5,0,15
E038,10,5,0,15
E074,6,9,0,15
E030,6,9,0,15
E087,7,8,0,15
E078,6,9,0,15
E023,5,9,0,14
E092,7,7,0,14
E080,10,4,0,14
E088,4,10,0,14
E098,6,8,0,14
E071,8,6,0,14
E075,10,4,0,14
E049,6,8,0,14
E044,7,7,0,14
E085,5,8,0,13
E090,6,7,0,13
E032,5,8,0,13
E055,3,9,0,12
E097,7,5,0,12
E070,6,6,0,12
E093,3,9,0,12
E037,5,6,0,11
E072,3,8,0,11
E053,7,4,0,11
E043,3,8,0,11
E048,5,6,0,11
E081,5,5,0,10
E033,1,9,0,10
E027,5,3,0,8
E064,5,1,0,6
